76,Minimum Window Substring,Hard, https://leetcode.com/problems/minimum-window-substring,amazon; linkedin; facebook; snapchat; godaddy; visa; oracle; facebook; godaddy; visa; nutanix; goldman-sachs; salesforce; salesforce; godaddy; salesforce; goldman-sachs; snapchat; goldman-sachs; facebook; visa; oracle; linkedin; goldman-sachs; amazon; facebook; nutanix; vmware; amazon; airbnb; vmware; linkedin; airbnb; amazon; oracle,
77,Combinations,Medium, https://leetcode.com/problems/combinations,amazon; facebook; facebook; facebook; amazon; amazon; amazon,
78,Subsets,Medium, https://leetcode.com/problems/subsets,amazon; facebook; facebook; goldman-sachs; goldman-sachs; facebook; goldman-sachs; amazon; facebook; amazon; amazon,
79,Word Search,Medium, https://leetcode.com/problems/word-search,amazon; linkedin; facebook; snapchat; oracle; facebook; snapchat; snapchat; jpmorgan; facebook; jpmorgan; oracle; amazon; facebook; vmware; amazon; vmware; linkedin; amazon; oracle,
80,Remove Duplicates from Sorted Array II,Medium, https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,facebook; vmware; amazon; vmware; vmware; amazon; vmware,
81,Search in Rotated Sorted Array II,Medium, https://leetcode.com/problems/search-in-rotated-sorted-array-ii,amazon; facebook; facebook; facebook; amazon; facebook; amazon; amazon,
82,Remove Duplicates from Sorted List II,Medium, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,amazon; salesforce; salesforce; paypal; amazon; paypal; amazon; amazon,
83,Remove Duplicates from Sorted List,Easy, https://leetcode.com/problems/remove-duplicates-from-sorted-list,facebook; facebook; salesforce; salesforce; facebook; amazon; amazon; amazon,
84,Largest Rectangle in Histogram,Hard, https://leetcode.com/problems/largest-rectangle-in-histogram,amazon; facebook; facebook; facebook; amazon; amazon; amazon,
85,Maximal Rectangle,Hard, https://leetcode.com/problems/maximal-rectangle,amazon; facebook; citadel; facebook; citadel; samsung; amazon; samsung; vmware; amazon; citadel; citadel; samsung; vmware; amazon,
86,Partition List,Medium, https://leetcode.com/problems/partition-list,amazon; amazon; amazon; amazon,
88,Merge Sorted Array,Easy, https://leetcode.com/problems/merge-sorted-array,amazon; linkedin; facebook; oracle; facebook; oracle; netflix; netflix; goldman-sachs; facebook; oracle; cisco; cisco; linkedin; goldman-sachs; amazon; vmware; facebook; cisco; vmware; amazon; vmware; linkedin; amazon; oracle,
89,Gray Code,Medium, https://leetcode.com/problems/gray-code,amazon,
90,Subsets II,Medium, https://leetcode.com/problems/subsets-ii,amazon; facebook; facebook; facebook; amazon; facebook; amazon; amazon,
91,Decode Ways,Medium, https://leetcode.com/problems/decode-ways,amazon; facebook; snapchat; databricks; oracle; facebook; goldman-sachs; databricks; snapchat; barclays; goldman-sachs; snapchat; cisco; facebook; oracle; cisco; barclays; cisco; goldman-sachs; amazon; facebook; cisco; databricks; amazon; amazon; oracle,
92,Reverse Linked List II,Medium, https://leetcode.com/problems/reverse-linked-list-ii,amazon; facebook; oracle; facebook; oracle; facebook; oracle; amazon; facebook; amazon; amazon; oracle,
93,Restore IP Addresses,Medium, https://leetcode.com/problems/restore-ip-addresses,amazon; facebook; facebook; facebook; amazon; vmware; facebook; vmware; amazon; vmware; amazon,
94,Binary Tree Inorder Traversal,Medium, https://leetcode.com/problems/binary-tree-inorder-traversal,amazon; facebook; oracle; facebook; oracle; facebook; oracle; amazon; facebook; amazon; amazon; oracle,
95,Unique Binary Search Trees II,Medium, https://leetcode.com/problems/unique-binary-search-trees-ii,facebook; facebook; facebook; amazon; facebook; amazon,
96,Unique Binary Search Trees,Medium, https://leetcode.com/problems/unique-binary-search-trees,amazon; facebook; facebook; snapchat; facebook; amazon; amazon; amazon,
97,Interleaving String,Hard, https://leetcode.com/problems/interleaving-string,amazon; vmware; nvidia; amazon; nvidia; vmware; vmware; amazon; vmware; amazon,
98,Validate Binary Search Tree,Medium, https://leetcode.com/problems/validate-binary-search-tree,amazon; linkedin; facebook; vmware; visa; oracle; facebook; visa; goldman-sachs; salesforce; salesforce; capital-one; tripadvisor; salesforce; goldman-sachs; mathworks; facebook; visa; oracle; tripadvisor; capital-one; goldman-sachs; amazon; vmware; facebook; mathworks; vmware; amazon; visa; vmware; linkedin; amazon; oracle,
99,Recover Binary Search Tree,Hard, https://leetcode.com/problems/recover-binary-search-tree,amazon; facebook; goldman-sachs; goldman-sachs; goldman-sachs; facebook; goldman-sachs; amazon; amazon; amazon,
100,Same Tree,Easy, https://leetcode.com/problems/same-tree,amazon; linkedin; facebook; facebook; facebook; amazon; amazon; linkedin; amazon,
101,Symmetric Tree,Easy, https://leetcode.com/problems/symmetric-tree,amazon; linkedin; facebook; oracle; facebook; oracle; visa; salesforce; salesforce; tripadvisor; facebook; visa; oracle; tripadvisor; linkedin; amazon; facebook; vmware; amazon; vmware; linkedin; amazon; oracle,
102,Binary Tree Level Order Traversal,Medium, https://leetcode.com/problems/binary-tree-level-order-traversal,amazon; linkedin; facebook; facebook; citadel; mathworks; cisco; facebook; oracle; citadel; cisco; cisco; linkedin; amazon; vmware; facebook; cisco; mathworks; vmware; amazon; linkedin; vmware; linkedin; amazon; oracle,
103,Binary Tree Zigzag Level Order Traversal,Medium, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,amazon; linkedin; facebook; qualtrics; facebook; servicenow; facebook; oracle; linkedin; samsung; amazon; qualtrics; samsung; facebook; amazon; linkedin; qualtrics; samsung; servicenow; linkedin; qualtrics; amazon; oracle,
104,Maximum Depth of Binary Tree,Easy, https://leetcode.com/problems/maximum-depth-of-binary-tree,amazon; linkedin; facebook; facebook; goldman-sachs; goldman-sachs; facebook; paypal; goldman-sachs; amazon; paypal; amazon; linkedin; amazon,
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,amazon; facebook; oracle; facebook; citadel; facebook; oracle; citadel; amazon; facebook; amazon; amazon; oracle,
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium, https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,amazon; facebook; mathworks; facebook; amazon; mathworks; amazon; amazon,
107,Binary Tree Level Order Traversal II,Easy, https://leetcode.com/problems/binary-tree-level-order-traversal-ii,amazon; oracle; amazon; amazon; amazon; oracle,
108,Convert Sorted Array to Binary Search Tree,Easy, https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,amazon; facebook; oracle; facebook; facebook; oracle; cisco; cisco; amazon; facebook; cisco; amazon; airbnb; amazon; oracle,
109,Convert Sorted List to Binary Search Tree,Medium, https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,amazon; facebook; facebook; facebook; oracle; amazon; facebook; vmware; amazon; vmware; amazon; oracle,
110,Balanced Binary Tree,Easy, https://leetcode.com/problems/balanced-binary-tree,amazon; facebook; facebook; cisco; amazon; cisco; amazon; amazon,
111,Minimum Depth of Binary Tree,Easy, https://leetcode.com/problems/minimum-depth-of-binary-tree,facebook; facebook; facebook; amazon; facebook; amazon,
112,Path Sum,Easy, https://leetcode.com/problems/path-sum,amazon; facebook; oracle; facebook; oracle; facebook; oracle; amazon; amazon; amazon; oracle,
113,Path Sum II,Medium, https://leetcode.com/problems/path-sum-ii,amazon; linkedin; facebook; oracle; facebook; oracle; facebook; oracle; amazon; vmware; amazon; vmware; linkedin; amazon; oracle,
114,Flatten Binary Tree to Linked List,Medium, https://leetcode.com/problems/flatten-binary-tree-to-linked-list,amazon; facebook; databricks; oracle; facebook; oracle; databricks; nvidia; facebook; oracle; amazon; nvidia; facebook; databricks; amazon; nvidia; amazon; oracle,
